dataset,lm,model,avg,pm
1_cora,1_sfr,SIGN_421,~08819,~0.0074
1_cora,1_sfr,SimpleGCN_2,~0.7389,~0.012
1_cora,2_llm2vec,SIGN_421,~0.8856,~0.0083
1_cora,2_llm2vec,SimpleGCN_2,~0.6983,~0.012
1_cora,3_qwen,SIGN_330,~0.8575,~0.0157
1_cora,3_qwen,SimpleGCN_2,~0.7491,~0.0166

2_pubmed,1_sfr,SIGN_421,~0.8868,~0.0062
2_pubmed,1_sfr,SimpleGCN_2,~0.7505,~0.0048
2_pubmed,2_llm2vec,SIGN_421,~0.9004,~0.0038
2_pubmed,2_llm2vec,SimpleGCN_2,~0.74,~0.0037
2_pubmed,3_qwen,SIGN_421,~0.8611,~0.0084
2_pubmed,3_qwen,SimpleGCN_2,~0.7472,~0.0076

3_ognb-arxiv,1_sfr,SIGN_330,~0.615,~0.0182
3_ognb-arxiv,1_sfr,SimpleGCN_2,~0.3337,~0.0107
3_ognb-arxiv,2_llm2vec,SIGN_330,~0.6035,~0.0084
3_ognb-arxiv,2_llm2vec,SimpleGCN_2,~0.3614,~0.0039
3_ognb-arxiv,3_qwen,SIGN_330,~0.6285,~0.0114
3_ognb-arxiv,3_qwen,SimpleGCN_2,~0.3463,~0.0181

4_ogbn-products,1_sfr,SIGN_330,~0.6668,~0.0078
4_ogbn-products,1_sfr,SimpleGCN_2,~0.6216,~0.0052
4_ogbn-products,2_llm2vec,SIGN_330,~0.6621,~0.0009
4_ogbn-products,2_llm2vec,SimpleGCN_2,~0.604,~0.0039
4_ogbn-products,3_qwen,SIGN_530,~0.6698,~0.001
4_ogbn-products,3_qwen,SimpleGCN_2,~0.6219,~0.0039

5_arxiv_2023,1_sfr,SIGN_330,~0.7186,~0.0041
5_arxiv_2023,1_sfr,SimpleGCN_2,~0.2516,~0.0027
5_arxiv_2023,2_llm2vec,SIGN_330,~0.6804,~0.0041
5_arxiv_2023,2_llm2vec,SimpleGCN_2,~0.2451,~0.0004
5_arxiv_2023,3_qwen,SIGN_330,~0.733,~0.0009
5_arxiv_2023,3_qwen,SimpleGCN_2,~0.258,~0.0011
